일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-03,145800,150500,139600,149700,273920,9.110787172011662,72319.0,1783.0,-20538.0,-53564.0,0.0,35686.0,10.670000076293945,77094.0,0.36000001430511475
2026-02-02,144100,149300,135700,137200,276855,-8.95819508958195,-58785.0,-423.0,-10960.0,70168.0,0.0,16338.0,5.0,77094.0,0.36000001430511475
2026-01-30,138100,157100,134800,150700,390575,8.651766402307137,99413.0,-334.0,-82777.0,-16302.0,0.0,42658.0,8.359999656677246,77094.0,0.36000001430511475
2026-01-29,138900,143100,123300,138700,485781,5.395136778115502,103776.0,-7108.0,-88837.0,-7831.0,0.0,55693.0,9.5,78133.0,0.3700000047683716
2026-01-28,124900,131600,122000,131600,479477,11.620016963528414,94573.0,-4183.0,-104742.0,14352.0,0.0,70115.0,11.880000114440918,70799.0,0.33000001311302185
2026-01-27,111500,117900,110500,117900,311966,4.428697962798937,42212.0,-2274.0,-42927.0,2989.0,0.0,58072.0,14.770000457763672,59026.0,0.2800000011920929
2026-01-26,106000,113400,105700,112900,395748,8.245445829338447,121189.0,745.0,-86412.0,-35522.0,0.0,60714.0,12.229999542236328,43435.0,0.20000000298023224
2026-01-23,104100,105000,101000,104300,288910,-1.881467544684854,40232.0,124.0,14035.0,-54391.0,0.0,62238.0,18.3799991607666,29995.0,0.1400000005960464
2026-01-22,102600,107300,99900,106300,338453,6.513026052104208,20343.0,2535.0,-44942.0,22064.0,0.0,36749.0,8.3100004196167,43978.0,0.209999993443489
2026-01-21,98700,100500,97500,99800,196634,0.5035246727089627,14574.0,937.0,4301.0,-19812.0,0.0,23221.0,10.18000030517578,42167.0,0.2000000029802322
2026-01-20,102500,102500,98300,99300,242604,-3.310613437195716,-69436.0,-737.0,39921.0,30252.0,0.0,8905.0,3.0299999713897705,43296.0,0.2000000029802322
2026-01-19,103900,104900,102200,102700,169668,-2.469135802469136,-67513.0,-1309.0,35008.0,33814.0,0.0,9685.0,4.699999809265137,40633.0,0.1899999976158142
2026-01-16,107700,108300,103600,105300,175195,-0.1895734597156398,-85755.0,151.0,30904.0,54700.0,0.0,10866.0,5.179999828338623,41754.0,0.2000000029802322
2026-01-15,105700,106100,103200,105500,199779,-1.585820895522388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,108100,110300,105100,107200,117151,-1.5610651974288337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,108900,110600,107600,108900,93233,-0.1833180568285976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,110400,113000,107200,109100,138617,-0.365296803652968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
