일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-11-21,208000,221500,207000,217500,689878,-0.4576659038901602,68430,-458,-118997,51025,0,38270.0,4.300000190734863,267487.0,0.36000001430511475
2025-11-20,224000,228000,218500,218500,783585,1.627906976744186,101606,5047,119630,-226283,0,43853.0,4.329999923706055,267487.0,0.36000001430511475
2025-11-19,208000,222500,201000,215000,1166055,5.392156862745098,235299,16396,-57717,-193978,0,40569.0,2.6500000953674316,267487.0,0.36000001430511475
2025-11-18,210500,212000,202500,204000,641226,-5.336426914153132,-111831,-1816,48496,65151,0,50381.0,6.139999866485596,288994.0,0.38999998569488525
2025-11-17,216000,217000,208500,215500,470203,1.1737089201877933,2075,-3380,70195,-68890,0,11627.0,1.9299999475479126,279145.0,0.3700000047683716
2025-11-14,213500,216500,212000,213000,601975,-3.837471783295711,-15818,-2750,5894,12674,0,30529.0,4.260000228881836,284879.0,0.3799999952316284
2025-11-13,225000,226250,220500,221500,495921,-2.207505518763797,-54679,1375,55334,-2030,0,18718.0,3.049999952316284,268896.0,0.36000001430511475
2025-11-12,226500,229500,223500,226500,285570,-0.43956043956043955,-17313,-1706,44650,-25631,0,17065.0,4.369999885559082,261086.0,0.3499999940395355
2025-11-11,228500,233500,224500,227500,361539,1.5625,-40270,2035,-26031,64266,0,54082.0,10.600000381469727,283926.0,0.3799999952316284
2025-11-10,224500,226500,218000,224000,377980,0.6741573033707865,-24652,641,12625,11386,0,11376.0,2.130000114440918,303292.0,0.4099999964237213
2025-11-07,220000,231500,215000,222500,587100,-4.094827586206897,-54619,-552,-34555,89726,0,15917.0,1.9700000286102293,327868.0,0.4399999976158142
2025-11-06,236500,237000,227500,232000,505655,1.0893246187363834,-36103,1495,-9370,43978,0,29277.0,4.320000171661377,339791.0,0.449999988079071
2025-11-05,230500,232000,219500,229500,632356,-3.97489539748954,-37927,-9664,-34595,82186,0,67272.0,7.239999771118164,345424.0,0.4600000083446502
2025-11-04,246000,250500,236000,239000,557195,-1.646090534979424,-15654,-4330,-61548,81532,0,73407.0,8.710000038146973,304359.0,0.4099999964237213
2025-11-03,242000,247000,236000,243000,841490,-0.8163265306122449,-133855,8501,254493,-129139,0,106061.0,8.800000190734863,236136.0,0.3199999928474426
2025-10-31,226000,248000,225000,245000,908689,8.88888888888889,106020,12085,-282209,164104,0,55485.0,4.019999980926514,189758.0,0.25
2025-10-30,229500,230000,221500,225000,787280,-3.0172413793103448,-135768,-3659,43993,95434,0,48387.0,4.489999771118164,197913.0,0.2599999904632568
2025-10-29,238000,240000,224000,232000,1072233,0.0,70344,4378,94240,-168962,0,116060.0,7.449999809265137,283311.0,0.3799999952316284
2025-10-28,229000,233500,226000,232000,448107,1.5317286652078774,37689,-5597,-65431,33339,0,35519.0,5.650000095367432,209195.0,0.2800000011920929
2025-10-27,223500,228500,220500,228500,486164,2.927927927927928,43961,13047,-97925,40917,0,53061.0,7.75,236218.0,0.3199999928474426
2025-10-24,223000,223500,218500,222000,382187,0.0,42907,2642,-41871,-3678,0,26286.0,4.730000019073486,206774.0,0.2800000011920929
2025-10-23,207500,223500,206500,222000,637592,4.716981132075472,98324,-1415,-269751,172842,0,40698.0,4.230000019073486,258470.0,0.3499999940395355
2025-10-22,214000,216000,207000,212000,339613,-1.851851851851852,-18444,373,34389,-16318,0,43634.0,9.130000114440918,352620.0,0.4699999988079071
2025-10-21,215000,221000,214000,216000,600165,1.647058823529412,67893,1453,-163655,94309,0,46353.0,5.429999828338623,338701.0,0.449999988079071
2025-10-20,208000,214500,204500,212500,522458,2.657004830917874,6975,-7493,-125673,126191,0,48531.0,6.539999961853027,351329.0,0.4699999988079071
2025-10-17,200000,208000,199000,207000,572650,2.729528535980149,28494,-5667,-196041,173214,0,39300.0,5.019999980926514,329682.0,0.4399999976158142
2025-10-16,199000,203000,197500,201500,440547,0.75,-54046,-2448,-51702,108196,0,59848.0,9.789999961853027,374143.0,0.5
2025-10-15,198900,200500,195400,200000,442942,0.9081735620585268,-33162,979,63481,-31298,0,19100.0,3.059999942779541,410543.0,0.550000011920929
2025-10-14,206000,208000,197000,198200,567219,-2.6044226044226044,-52262,-3820,29250,26832,0,48853.0,6.170000076293945,434994.0,0.5799999833106995
2025-10-13,202000,204500,198500,203500,473190,-3.32541567695962,48471,3638,94346,-146455,0,45768.0,6.619999885559082,388871.0,0.5199999809265137
2025-10-10,202000,211000,199600,210500,947198,7.507660878447394,103153,-2011,-302950,201808,0,79473.0,6.170000076293945,382043.0,0.0
2025-10-02,197800,199400,195200,195800,664365,1.2933264355923435,-90118,579,32996,56543,0,186912.0,22.3700008392334,0.0,0.0
2025-10-01,195800,196300,190800,193300,404107,-0.1033591731266149,-71178,-1533,6821,65890,0,22985.0,4.46,0.0,0.0
2025-09-30,197100,198100,193300,193500,312982,-2.074898785425101,-4835,-1218,1146,4907,0,24851.0,6.1,0.0,0.0
