일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-11-12,103000,103900,101600,103100,19411466,-0.3864734299516908,1925957,156959,2243924,-4326840,0,381823.0,1.5199999809265137,515810.0,0.009999999776482582
2025-11-11,103700,106000,102000,103500,27742542,2.8827037773359843,1393210,-57245,-3575513,2239548,0,1665236.0,4.130000114440918,515810.0,0.009999999776482582
2025-11-10,98600,101000,97900,100600,23842327,2.7579162410623086,1137212,77014,-1917458,703232,0,384879.0,1.1699999570846558,515810.0,0.009999999776482582
2025-11-07,96400,100300,96300,97900,22908083,-1.310483870967742,-1833179,-93429,-670413,2597021,0,742425.0,2.1700000762939453,459533.0,0.009999999776482582
2025-11-06,103700,103800,98800,99200,28655689,-1.3916500994035785,1744157,226268,5228324,-7198749,0,640950.0,1.6200000047683716,463138.0,0.009999999776482582
2025-11-05,101000,102000,96700,100600,44843020,-4.0991420400381315,-1069851,-459241,3161844,-1632752,0,1070419.0,1.5099999904632568,477610.0,0.009999999776482582
2025-11-04,111800,112400,104900,104900,30450281,-5.5805580558055805,-731109,-378456,6602532,-5492967,0,870052.0,1.8899999856948853,468411.0,0.009999999776482582
2025-11-03,106900,111500,106500,111100,30110066,3.3488372093023258,2283333,100313,188547,-2572193,0,1000462.0,2.200000047683716,477586.0,0.009999999776482582
2025-10-31,105000,108600,103300,107500,54824564,3.266090297790586,-15452058,229955,-2194927,17417030,0,583115.0,0.8399999737739563,650922.0,0.0099999997764825
2025-10-30,102400,105800,102000,104100,34570017,3.582089552238806,59109,83163,-5274854,5132582,0,850775.0,1.649999976158142,549507.0,0.0099999997764825
2025-10-29,100200,101000,99100,100500,20899788,1.0050251256281406,855784,110569,1048516,-2014869,0,580525.0,2.0,508015.0,0.0099999997764825
2025-10-28,100900,101000,99100,99500,20002282,-2.450980392156863,-913950,114014,3387485,-2587549,0,1079992.0,3.869999885559082,548758.0,0.0099999997764825
2025-10-27,101300,102000,100600,102000,22169970,3.238866396761133,1615226,-110750,-9256525,7752049,0,729060.0,2.2799999713897705,1211694.0,0.0199999995529651
2025-10-24,97900,99000,97700,98800,18801925,2.383419689119171,3565823,-143614,-8645536,5223327,0,204391.0,0.7900000214576721,1307236.0,0.0199999995529651
2025-10-23,96800,98500,96300,96500,18488581,-2.129817444219067,-1560979,102004,2643693,-1184718,0,1201451.0,5.050000190734863,1470311.0,0.0199999995529651
2025-10-22,97100,98600,95500,98600,15937611,1.1282051282051282,1098158,-81201,-512514,-504443,0,798762.0,3.559999942779541,1617327.0,0.0299999993294477
2025-10-21,98500,99900,97300,97500,22803830,-0.6116207951070336,1271387,-74411,-1849438,652462,0,698615.0,2.130000114440918,1765547.0,0.0299999993294477
2025-10-20,97900,98300,96000,98100,17589756,0.2042900919305413,970254,159610,-134577,-995287,0,609411.0,2.440000057220459,1773878.0,0.0299999993294477
2025-10-17,97200,99100,96700,97900,22730809,0.2047082906857728,-1069212,-75527,-2907282,4052021,0,886751.0,2.740000009536743,1807506.0,0.0299999993294477
2025-10-16,95300,97700,95000,97700,28141060,2.8421052631578947,2000393,-136587,-7625751,5761945,0,1044517.0,2.700000047683716,1810736.0,0.0299999993294477
2025-10-15,92300,95300,92100,95000,21050111,3.711790393013101,1592972,8291,-3334244,1732981,0,247741.0,0.8299999833106995,1719055.0,0.0299999993294477
2025-10-14,95300,96000,90200,91600,35545235,-1.822079314040729,-2355665,137316,-512790,2731139,0,822312.0,1.6200000047683716,1728405.0,0.0299999993294477
2025-10-13,91300,93400,90700,93300,23883308,-1.1652542372881356,67960,86387,2283798,-2438145,0,1059656.0,3.130000114440918,1680355.0,0.0299999993294477
2025-10-10,94000,94500,92700,94400,35269748,6.067415730337078,366625,-226431,-6505605,6365411,0,1013815.0,2.190000057220459,2727821.0,0.0
2025-10-02,89300,90300,88700,89000,49745285,3.488372093023256,233409,-96587,-19249147,19112325,0,1583715.0,2.4800000190734863,0.0,0.0
2025-10-01,84900,86200,84700,86000,21723885,2.502979737783076,1484044,-186735,-7449729,6152420,0,166208.0,0.55,0.0,0.0
2025-09-30,84600,84900,83400,83900,16319061,-0.3562945368171021,-240957,93169,-1115898,1263686,0,467457.0,2.31,0.0,0.0
2025-09-29,83300,85000,83200,84200,13069094,1.0804321728691475,966344,357144,-2366007,1042519,0,234000.0,1.27,1463492.0,0.0
2025-09-26,85000,85300,82400,83300,24071193,-3.252032520325204,-2836910,458059,810705,1568146,0,587097.0,1.69,1552803.0,0.0
2025-09-25,84400,86200,84100,86100,19665151,0.819672131147541,276865,487762,-5653744,4889117,0,701843.0,2.69,981342.0,0.0
2025-09-24,84200,85500,83700,85400,18300997,0.8264462809917356,517678,389089,-1712355,805588,0,263568.0,1.02,976801.0,0.0
2025-09-23,85800,85900,83600,84700,23610263,1.437125748502994,-1300282,614346,-1232456,1918392,0,754568.0,2.23,2116465.0,0.0
2025-09-22,81500,84000,81100,83500,27529656,4.767879548306149,1932257,355101,-10294296,8006938,0,566818.0,1.41,2116851.0,0.0
2025-09-19,81100,81200,79600,79700,20898386,-0.9937888198757764,-1073051,796956,146081,130014,0,490311.0,1.79,2085085.0,0.0
2025-09-18,79100,80500,78600,80500,25619035,2.941176470588235,4524496,560126,-9438120,4353498,0,570300.0,1.63,2130424.0,0.0
2025-09-17,79100,79100,77100,78200,20856317,-1.5113350125944585,-797224,669950,-1992453,2119727,0,654618.0,2.18,2131316.0,0.0
2025-09-16,76900,79500,76700,79400,28218265,3.7908496732026142,886516,-298790,-13653413,13065687,0,245948.0,0.64,2191546.0,0.0
2025-09-15,77200,77600,75900,76500,19908805,1.4588859416445623,1660236,362916,-5419485,3396333,0,173700.0,0.62,2297915.0,0.0
2025-09-12,74600,75600,74200,75400,28219678,2.724795640326976,6015158,404262,-16962744,10543324,0,327531.0,0.87,2300391.0,0.0
2025-09-11,73200,73600,72100,73400,20793501,1.1019283746556474,5558618,584917,-6067129,-76406,0,575664.0,2.25,2351291.0,0.0
2025-09-10,71800,72800,71600,72600,21928565,1.5384615384615383,4582471,618888,-10482254,5280895,0,573839.0,2.11,2060817.0,0.0
2025-09-09,70100,71500,70000,71500,14870245,1.9971469329529243,1864337,799613,-6511482,3847532,0,387504.0,2.07,1505612.0,0.0
2025-09-08,69800,70500,69600,70100,9263135,0.8633093525179856,-167019,873939,-1389241,682321,0,307169.0,2.75,1475315.0,0.0
2025-09-05,70300,70400,69500,69500,11526724,-0.8559201141226819,-103239,904825,749207,-1550793,0,242698.0,1.84,1615970.0,0.0
2025-09-04,69500,70100,69300,70100,12284414,0.4297994269340974,-645230,904904,-674788,415114,0,316689.0,2.33,1616741.0,0.0
