일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2025-11-12,168900,171400,161700,163400,54456,-4.778554778554779,-12610,22,10757,1831,0,6939.0,10.699999809265137,68036.0,0.5799999833106995
2025-11-11,171000,180000,169000,171600,119783,3.1870114251352977,31728,1345,9418,-42491,0,22126.0,15.75,68036.0,0.5799999833106995
2025-11-10,154100,169500,152500,166300,115141,8.906352324819908,37197,-270,1089,-38016,0,4664.0,3.4800000190734863,68036.0,0.5799999833106995
2025-11-07,159900,160300,150000,152700,88096,-4.323308270676692,-13516,2,1388,12126,0,7878.0,8.010000228881836,58671.0,0.5
2025-11-06,162000,163000,154400,159600,65962,0.7575757575757576,-21506,-410,4857,17059,0,16427.0,22.56999969482422,64206.0,0.550000011920929
2025-11-05,164000,164100,152600,158400,79955,-4.807692307692308,20166,-201,-101,-19864,0,14238.0,15.420000076293945,68774.0,0.5899999737739563
2025-11-04,161700,169400,159100,166400,98599,3.0340557275541795,18972,-100,-10485,-8387,0,6261.0,4.889999866485596,54383.0,0.4699999988079071
2025-11-03,166000,166900,159200,161500,78664,-2.710843373493976,-19196,-444,-5246,24886,0,13479.0,13.569999694824219,54463.0,0.4699999988079071
2025-10-31,167900,168900,163600,166000,69092,-1.483679525222552,17450,-676,-11426,-5348,0,7456.0,9.699999809265137,55968.0,0.4799999892711639
2025-10-30,170300,170600,163800,168500,66296,-0.2368265245707519,9194,-587,-5059,-3548,0,13831.0,18.5,56504.0,0.4799999892711639
2025-10-29,169900,171700,163900,168900,82694,-0.5300353356890459,-32360,-525,-1324,34209,0,6093.0,6.190000057220459,56894.0,0.4900000095367431
2025-10-28,172900,175800,168500,169800,74990,-1.7929438982070562,-7285,-579,-5327,13191,0,4279.0,4.820000171661377,66177.0,0.5699999928474426
2025-10-27,174200,176600,169000,172900,69406,-0.6892590465249857,-12332,-1767,-2645,16744,0,4599.0,5.599999904632568,74232.0,0.6399999856948853
2025-10-24,171300,175200,170100,174100,93787,2.411764705882353,28726,132,1841,-30699,0,2849.0,2.75,89296.0,0.7599999904632568
2025-10-23,172800,172900,167600,170000,84251,-2.968036529680365,-5258,-1435,-8511,15204,0,4880.0,5.289999961853027,84774.0,0.7300000190734863
2025-10-22,173700,175200,167700,175200,74058,0.2288329519450801,-6492,-1108,-13123,20723,0,10729.0,13.140000343322754,95877.0,0.8199999928474426
