일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-02-06,55000,57200,53800,55800,292530,-2.6178010471204187,-32827.0,-4085.0,4086.0,32826.0,0.0,12515.0,3.5199999809265137,6291.0,0.05999999865889549
2026-02-05,59300,60400,56500,57300,256000,-7.729468599033816,-37145.0,-2392.0,96736.0,-57199.0,0.0,6221.0,1.7999999523162842,6291.0,0.05999999865889549
2026-02-04,61700,63400,60800,62100,253921,-0.7987220447284344,-12854.0,138.0,58023.0,-45307.0,0.0,6048.0,1.6200000047683716,6291.0,0.05999999865889549
2026-02-03,61400,62700,59100,62600,330949,6.643952299829642,17719.0,4359.0,-15066.0,-7012.0,0.0,16154.0,3.2300000190734863,4041.0,0.03999999910593033
2026-02-02,58700,62500,57400,58700,322573,-1.675041876046901,12656.0,8251.0,-8008.0,-12899.0,0.0,6972.0,1.5399999618530273,4041.0,0.03999999910593033
2026-01-30,57400,63700,57000,59700,683788,4.006968641114982,-5722.0,2157.0,-49346.0,52911.0,0.0,11017.0,1.0700000524520874,4041.0,0.03999999910593033
2026-01-29,64800,64800,55400,57400,681204,-6.9692058346839545,-96603.0,2820.0,320346.0,-226563.0,0.0,13920.0,1.409999966621399,0.0,0.0
2026-01-28,61000,63400,60200,61700,317103,2.6622296173044924,22868.0,-275.0,-9143.0,-13450.0,0.0,3689.0,0.7099999785423279,0.0,0.0
2026-01-27,58100,60500,57800,60100,193436,1.864406779661017,31007.0,182.0,-1836.0,-29353.0,0.0,3440.0,1.2100000381469727,0.0,0.0
2026-01-26,57300,59900,56000,59000,205612,4.056437389770723,-6742.0,-995.0,-45490.0,53227.0,0.0,753.0,0.25,0.0,0.0
2026-01-23,56200,57200,54900,56700,140486,1.6129032258064515,-6199.0,722.0,-1797.0,7274.0,0.0,3178.0,1.7000000476837158,0.0,0.0
2026-01-22,56200,56700,54100,55800,134219,2.385321100917431,-16762.0,15.0,-6861.0,23608.0,0.0,1200.0,0.6399999856948853,0.0,0.0
2026-01-21,54600,56700,53200,54500,149060,-3.368794326241135,-16358.0,1547.0,7735.0,7076.0,0.0,8625.0,3.940000057220459,0.0,0.0
2026-01-20,57000,58100,55100,56400,198050,-2.253032928942808,-25868.0,-3656.0,-3760.0,33284.0,0.0,2307.0,0.8600000143051147,0.0,0.0
2026-01-19,57200,58600,56600,57700,177281,-1.0291595197255576,20903.0,-2638.0,-26268.0,8003.0,0.0,4983.0,2.200000047683716,0.0,0.0
2026-01-16,60600,60600,57700,58300,184477,-1.851851851851852,-40835.0,262.0,61482.0,-20909.0,0.0,2162.0,0.800000011920929,1765.0,0.0199999995529651
2026-01-15,56600,60100,56100,59400,229821,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,59600,60300,56200,57200,182626,-3.214890016920473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,58900,62700,57300,59100,407288,2.604166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,57400,58600,56100,57600,144482,1.4084507042253522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,55200,57400,54600,56800,195713,4.029304029304029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,57800,58500,54500,54600,245548,-5.536332179930796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,63600,64100,57200,57800,376195,-5.400981996726677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,60300,61200,57500,61100,235986,1.326699834162521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,61100,61500,58000,60300,182572,2.3769100169779285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,59800,60300,56800,58900,238675,-1.5050167224080269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,59800,60650,59100,59800,135252,-0.6644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,59800,60500,59100,60200,124778,1.6891891891891893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,59500,60500,58100,59200,179850,0.1692047377326565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,60000,60300,58500,59100,162081,-0.5050505050505051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,62500,62600,58900,59400,201212,-4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,61500,64000,60600,62500,275958,4.690117252931323,10115.0,-3267.0,-28383.0,21535.0,0.0,4659.0,1.690000057220459,1600.0,0.0199999995529651
2025-12-19,61900,61900,58200,59700,172914,-0.6655574043261231,-7185.0,736.0,27369.0,-20920.0,0.0,8318.0,4.809999942779541,0.0,0.0
2025-12-18,59000,61800,58600,60100,171030,-2.1172638436482085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,56000,62400,55600,61400,450500,10.03584229390681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,58000,58200,55300,55800,329860,-3.793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
