일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-26,77500,86400,76200,85200,1655517,11.22715404699739,256637.0,2253.0,-410865.0,151975.0,0.0,156460.0,6.75,780472.0,1.590000033378601
2026-01-23,76400,77000,75000,76600,421858,0.2617801047120419,58884.0,-363.0,-27299.0,-31222.0,0.0,48930.0,9.380000114440918,780472.0,1.590000033378601
2026-01-22,78500,78500,74800,76400,517622,-1.0362694300518136,-35110.0,-9411.0,-1827.0,46348.0,0.0,71491.0,10.470000267028809,780472.0,1.590000033378601
2026-01-21,72500,77700,71900,77200,861482,3.2085561497326207,47107.0,2327.0,-229107.0,179673.0,0.0,75540.0,6.980000019073486,862932.0,1.7599999904632568
2026-01-20,75800,76000,72900,74800,504072,-2.4771838331160363,-89827.0,355.0,5917.0,83555.0,0.0,78971.0,12.100000381469727,949819.0,1.940000057220459
2026-01-19,75100,77600,75100,76700,377450,0.0,-31124.0,-1888.0,-54679.0,87691.0,0.0,23332.0,4.539999961853027,912730.0,1.8600000143051147
2026-01-16,80300,80800,75400,76700,830517,-1.4138817480719794,-9650.0,1075.0,112852.0,-104277.0,0.0,124077.0,11.819999694824219,907316.0,1.850000023841858
2026-01-15,76400,78200,75500,77800,558639,-0.6385696040868455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,76200,78500,75200,78300,502916,3.1620553359683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,75000,77100,74400,75900,664570,3.547066848567531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,76500,76500,71800,73300,566253,-2.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,74800,76600,73000,75000,743732,-1.574803149606299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,76800,79700,75400,76200,867971,-3.4220532319391634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,81300,81700,75600,78900,988920,-1.8656716417910448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,79500,81800,76900,80400,1013851,2.030456852791878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,83000,84800,78000,78800,1608043,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-02,68900,81200,67800,80000,2605666,17.820324005891017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
